"result","Text"
"HAM","Hope you are having a good week. Just checking in"
"HAM","K..give back my thanks."
"HAM","Am also doing in cbe only. But have to pay."
"SPAM","complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
"SPAM","okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
"HAM","Aiya we discuss later lar... Pick u up at 4 is it?"
"HAM","Are you this much buzy"
"HAM","Please ask mummy to call father"
"SPAM","Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper"
"HAM","fyi I'm at usf now, swing by the room whenever"
"HAM","Sure thing big man. i have hockey elections at 6, shouldn€˜t go on longer than an hour though"
"HAM","I anything lor..."
"HAM","By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
"HAM","Hmm well, night night"
"HAM","K I'll be sure to get up before noon and see what's what"
"HAM","Ha ha cool cool chikku chikku:-):-DB-)"
"HAM","Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor."
"HAM","He dint tell anything. He is angry on me that why you told to abi."
"HAM","Up to u... u wan come then come lor... But i din c any stripes skirt..."
"SPAM","U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
"HAM","2mro i am not coming to gym machan. Goodnight."
"HAM","ARR birthday today:) i wish him to get more oscar."
"HAM","Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)"
"HAM","I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
"HAM","Could you not read me, my Love ? I answered you"
"HAM","So what did the bank say about the money?"
"HAM","Well if I'm that desperate I'll just call armand again"
"HAM","Fuuuuck I need to stop sleepin, sup"
"HAM","So how's the weather over there?"
"HAM","Ok thanx..."
"HAM","Ok.ok ok..then..whats ur todays plan"
"HAM","1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)"
"HAM","Sorry, I'll call later"
"HAM","Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too"
"SPAM","U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16"
"HAM","Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor."
"HAM","Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
"HAM","Oh k :)why you got job then whats up?"
"SPAM","SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
"HAM","Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready."
"HAM","Nationwide auto centre (or something like that) on Newport road. I liked them there"
"HAM","He is there. You call and meet him"
"HAM","Yeah sure I'll leave in a min"
